iteration	K.maxValue	coverage.maxValue	proportion.bounds.logP	q.bounds.logP	maxMortality	slope	resistanceGain	R	fitnessPenalty
284	12465.6	0.203933	-5.78933	-5.84511	0.929655	5.73767	0.343816	14.6852	0.371122
285	16035.2	0.83648	-5.68008	-5.06316	0.919867	4.13082	0.701424	22.3349	0.330203
286	18895.7	0.381281	-3.37908	-5.11371	0.947581	7.3002	0.698232	34.4991	0.266613
287	17730.8	0.84413	-5.02433	-5.22266	0.946357	4.18789	0.683245	17.8906	0.365173
288	15895.1	0.710671	-3.49922	-5.32777	0.949595	8.51753	0.642191	24.1144	0.121203
289	17662.3	0.238955	-4.46898	-4.63652	0.986047	6.74879	0.168257	8.07298	0.216482
290	10243.3	0.149861	-4.48815	-4.64169	0.918536	4.39065	0.23081	27.8192	0.0229258
291	13852.2	0.122657	-2.22047	-4.64647	0.906633	5.48325	0.316559	41.9593	0.0308274
292	14908.3	0.432502	-3.68584	-4.97044	0.928741	1.93238	0.595761	30.0899	0.294172
293	14699.1	0.698937	-4.78641	-4.55487	0.927324	8.11235	0.129734	42.0016	0.363305
294	14824.8	0.382354	-4.32711	-5.20918	0.950511	7.86608	0.88272	43.5572	0.293934
295	19492.7	0.539477	-2.31945	-5.81108	0.940738	5.91161	0.5781	35.6268	0.284358
296	13900.1	0.330464	-4.86078	-5.0873	0.966707	8.23474	0.512553	31.7957	0.235064
297	19948.3	0.216403	-2.02586	-4.61607	0.984058	8.29715	0.826483	39.8003	0.0146884
298	13552.7	0.206795	-5.051	-4.72516	0.953856	1.62326	0.429074	14.0369	0.358745
299	18662.4	0.589783	-4.36819	-4.44044	0.900594	8.17794	0.706017	15.1127	0.223214
300	15205	0.116445	-2.12332	-5.55606	0.964283	2.95687	0.498034	5.2198	0.381305
301	12218.4	0.870775	-3.08969	-4.14574	0.970568	1.01541	0.80687	3.00975	0.0300941
302	10739.1	0.360848	-5.717	-4.54411	0.90136	5.40892	0.177549	26.6496	0.0313499
303	19714.6	0.301203	-3.22781	-5.73185	0.980547	6.99383	0.823159	28.3747	0.237125
304	19263.5	0.328373	-3.74349	-4.62154	0.953137	6.33694	0.410507	5.71564	0.387013
305	19111.9	0.237477	-2.74263	-4.42614	0.956373	8.94334	0.381003	20.5767	0.036739
306	16178.7	0.614273	-2.50262	-4.06357	0.989128	3.48062	0.775571	33.9778	0.102168
307	14939.6	0.733336	-3.36801	-4.15835	0.929841	1.93963	0.494422	30.5005	0.31498
308	12891.5	0.317742	-2.89773	-5.72117	0.932936	8.15274	0.158403	2.09011	0.107565
309	11183.3	0.59451	-2.61422	-4.99765	0.939619	6.52794	0.887214	27.2985	0.322242
310	11953.2	0.706083	-4.66523	-5.87836	0.954393	5.08196	0.172784	5.08214	0.0384387
311	17682.2	0.469598	-3.73483	-5.85895	0.977368	4.98225	0.686642	43.8224	0.0731148
312	19522.6	0.459553	-2.42011	-4.45848	0.95006	9.95804	0.803652	36.9084	0.0578699
313	13055.6	0.175416	-2.53734	-5.34271	0.908818	8.03114	0.639158	19.3074	0.100772
314	17901.2	0.683779	-5.87129	-5.64459	0.903021	2.71044	0.692318	18.4685	0.309292
315	15632.2	0.880923	-3.99761	-4.38407	0.931464	7.48326	0.348854	27.652	0.2161
316	18250.5	0.515723	-5.8043	-5.07559	0.923073	2.46589	0.356646	33.3636	0.33706
317	12766.6	0.680818	-5.03011	-4.39748	0.954207	9.21215	0.762535	8.7614	0.398716
318	15837.2	0.143746	-4.02877	-4.96126	0.919682	1.76994	0.285578	8.56312	0.385751
319	10934.4	0.415785	-5.48346	-4.79187	0.954957	1.95152	0.636017	46.2647	0.117495
320	12485.1	0.638705	-4.46484	-4.23799	0.947355	6.27682	0.506706	21.9868	0.229804
321	16128.9	0.717026	-2.24481	-4.88008	0.907977	1.95774	0.341357	20.8201	0.0926019
322	15307.3	0.59721	-3.89445	-5.02378	0.986501	9.01832	0.187174	45.206	0.281989
323	14540.6	0.540103	-2.17915	-5.94453	0.927544	3.38488	0.85066	4.097	0.330563
324	12495.9	0.33166	-3.9251	-4.92735	0.987753	7.73736	0.596558	14.3276	0.231013
325	18974.7	0.163704	-5.04041	-5.66485	0.947892	7.83567	0.103861	9.15058	0.331371
326	12416.6	0.215871	-5.95838	-5.76752	0.919595	3.87566	0.105564	41.6146	0.0637737
327	18584.6	0.799477	-4.83891	-4.63556	0.932709	5.80137	0.354934	21.713	0.212093
328	12730	0.661397	-5.65983	-5.9314	0.966429	9.59455	0.798479	47.2628	0.250427
329	11799.8	0.56538	-4.76008	-4.35073	0.916258	4.0687	0.322811	4.6427	0.158817
330	18969.8	0.596414	-4.65706	-5.966	0.902276	5.95234	0.131259	33.0073	0.191305
331	16871.1	0.201722	-4.62174	-4.08841	0.931168	9.75906	0.787025	39.2917	0.282104
332	16671.2	0.316608	-5.9327	-4.95032	0.950659	5.20403	0.247366	9.64162	0.302166
333	11785.7	0.263291	-3.18367	-4.28378	0.914152	2.39761	0.400438	39.4314	0.350264
334	18334.8	0.668319	-5.08341	-4.19041	0.917449	1.85533	0.779375	48.2316	0.262186
335	10382.3	0.32183	-5.16976	-4.99498	0.919509	1.55423	0.137898	30.0271	0.0289837
336	10168.6	0.678004	-3.01008	-5.53589	0.957801	9.57587	0.217925	15.3568	0.376979
337	14753	0.537075	-5.59332	-4.4521	0.945341	3.78459	0.42352	7.50706	0.385319
338	17730	0.684406	-4.7777	-4.03737	0.948749	3.49709	0.72811	32.4008	0.0130175
339	19036.2	0.748314	-2.64313	-5.03259	0.96179	8.16786	0.139659	13.0544	0.149763
340	12501.4	0.389188	-2.43012	-5.94898	0.912589	5.24628	0.2048	11.6271	0.131112
341	13861.7	0.884511	-5.15867	-4.89006	0.920827	6.76369	0.161397	8.22284	0.093422
342	17024.7	0.313042	-2.31259	-4.66335	0.922466	9.20605	0.375994	25.2356	0.382103
343	14210.6	0.205436	-4.4522	-5.94785	0.923744	5.70779	0.301032	47.5204	0.329408
344	16014.2	0.463746	-3.63582	-4.58039	0.905267	6.30453	0.23941	16.1121	0.0119922
345	17095.2	0.832827	-3.05512	-5.16111	0.97339	8.27467	0.4063	32.6201	0.148617
346	10278.4	0.495958	-3.90274	-5.12355	0.914251	7.56497	0.68036	2.92346	0.0982805
347	18704.9	0.51679	-5.60578	-4.93795	0.943744	2.81037	0.259349	35.1306	0.251929
348	10395.8	0.15286	-5.14759	-4.57537	0.967893	7.41921	0.765938	10.5752	0.260888
349	19081.9	0.134205	-2.1047	-4.131	0.912679	1.42037	0.852032	48.9598	0.357129
350	12798.5	0.475148	-5.50072	-5.29001	0.960406	8.2047	0.179925	41.5318	0.292847
351	17564.4	0.485316	-4.60345	-5.59208	0.982731	6.31115	0.801727	45.2485	0.062757
352	18474.9	0.790242	-2.27571	-4.80897	0.92939	6.09006	0.455183	15.4666	0.114391
353	12201.3	0.618739	-5.52212	-5.38659	0.95555	6.01955	0.51896	15.9712	0.207827
354	13458.8	0.797698	-2.76271	-4.13897	0.984788	4.92144	0.799801	35.8384	0.261402
355	15863.7	0.105407	-2.86687	-5.36515	0.964754	5.0677	0.712636	36.0686	0.356019
356	12164.4	0.753238	-3.97217	-5.27735	0.911867	7.5764	0.852876	11.0009	0.112668
357	17213.2	0.72456	-2.23431	-4.51116	0.931109	8.78169	0.635396	21.0488	0.124825
358	15777.2	0.354283	-4.13197	-4.62838	0.944174	1.41162	0.269306	39.6698	0.161807
359	17233.4	0.152508	-4.61128	-5.36704	0.927021	2.23022	0.499126	11.4993	0.0917235
360	15536	0.616157	-4.34349	-5.07248	0.959609	7.16145	0.399666	3.21629	0.0598487
361	16028.5	0.148646	-3.15009	-4.51304	0.951185	3.28738	0.614812	29.0275	0.139072
362	16902.2	0.268998	-5.54416	-4.82462	0.910779	7.65247	0.496124	28.0698	0.0453098
363	13125.6	0.599721	-5.4717	-4.40262	0.951548	8.69273	0.200388	4.53129	0.00023111
364	14118.7	0.464897	-5.88414	-4.26672	0.976665	1.81819	0.324185	33.8628	0.088575
365	11976.6	0.811116	-2.19034	-4.45501	0.96065	8.5117	0.118491	40.8573	0.205714
366	17995.7	0.493669	-3.81326	-5.11566	0.97557	4.48413	0.182097	14.3545	0.317864
367	15238.6	0.816501	-3.84956	-5.58102	0.909684	2.88678	0.230081	46.4077	0.08122
368	14173.9	0.807044	-4.18398	-5.48375	0.918445	8.57897	0.858312	5.51238	0.251327
369	16768.5	0.357175	-2.2962	-4.78801	0.96651	1.05999	0.446955	31.8386	0.00633142
370	18091.2	0.38048	-3.98145	-4.01012	0.963141	4.40658	0.525633	32.8194	0.0665195
371	15657.5	0.193477	-2.67412	-5.92475	0.916414	8.74863	0.844745	17.8065	0.316978
372	16747.2	0.394911	-3.06589	-4.36773	0.902057	9.28747	0.156305	49.6346	0.261796
373	14673	0.762063	-4.79337	-5.1092	0.912047	9.69934	0.821175	38.34	0.0809945
374	18294.9	0.566947	-2.0292	-5.8774	0.926494	3.10095	0.784162	4.1129	0.24738
375	12901.7	0.403839	-4.90428	-4.88963	0.914019	4.92979	0.56665	17.6819	0.134673
376	19890.8	0.518683	-4.00739	-5.12717	0.966846	9.51627	0.435859	37.3158	0.282408
377	10341.5	0.747527	-4.54882	-5.27328	0.944054	5.8751	0.643812	18.8332	0.257931
378	10699.4	0.702511	-4.80779	-4.65845	0.974361	8.79787	0.785887	21.5695	0.069725
379	12697	0.52319	-3.36468	-4.89552	0.962948	8.35016	0.337958	48.4338	0.0444308
380	16847.4	0.863782	-2.96025	-5.32098	0.983285	3.62149	0.135532	19.5567	0.0400518
381	17086.2	0.776721	-2.13471	-4.5244	0.937552	7.21526	0.83036	21.3919	0.376387
382	17570.9	0.585836	-3.76415	-4.83869	0.928613	5.91974	0.183587	25.0575	0.106383
383	14689.7	0.647113	-3.46814	-5.92338	0.928874	4.35035	0.370157	46.4747	0.200492
384	14025.7	0.63077	-3.95582	-5.93686	0.943363	7.19385	0.811218	19.1886	0.247161
385	12453	0.569073	-2.40568	-5.17148	0.935688	2.59573	0.68491	45.7038	0.282895
386	11315.4	0.682959	-2.56238	-4.87407	0.970377	9.89501	0.626061	40.378	0.273051
387	15091.3	0.187434	-4.29724	-5.13931	0.952942	3.0705	0.686304	23.3443	0.256256
388	13208.3	0.762709	-2.77371	-5.99153	0.914472	3.12939	0.558548	34.8818	0.150314
389	17599.7	0.503929	-2.37837	-5.88146	0.935206	5.76332	0.132548	32.3086	0.0948646
390	15587	0.854105	-5.90437	-5.80094	0.92329	1.35375	0.394053	21.4457	0.0353898
391	18057.1	0.213626	-4.71656	-5.49563	0.943018	4.25121	0.858653	32.0678	0.312767
392	19012.1	0.483861	-5.71373	-4.75882	0.941282	4.0165	0.645082	18.1732	0.163287
393	13522.2	0.891658	-5.62734	-5.00531	0.949377	2.99807	0.894592	25.1493	0.138755
394	19461.4	0.413317	-3.40499	-4.77505	0.906359	1.33755	0.438705	24.7346	0.0304761
395	12681	0.498817	-5.36633	-4.67874	0.969077	2.37136	0.539726	37.2775	0.295151
396	11894.9	0.392911	-3.4879	-4.49142	0.922595	4.15256	0.320739	24.9562	0.36876
397	10815.9	0.440095	-2.06505	-5.37146	0.97618	8.70454	0.684614	48.0501	0.274636
398	16934.5	0.896865	-3.24275	-4.93207	0.969603	6.86896	0.151954	31.7398	0.353043
399	18200.5	0.397962	-2.57144	-4.08726	0.952466	7.58337	0.317565	2.33224	0.0749066
400	18989.5	0.766675	-3.99145	-4.85504	0.971908	4.63723	0.534473	14.9167	0.211653
401	11148.5	0.632372	-4.0716	-4.79683	0.901162	1.59189	0.888553	36.1699	0.117181
402	10520.3	0.431958	-5.54889	-4.00754	0.910497	3.04013	0.417483	40.4183	0.348642
403	13476.3	0.273168	-5.35672	-5.22622	0.930751	8.56809	0.533269	42.9923	0.29541
404	15483.7	0.406469	-5.94116	-5.29872	0.912706	9.77746	0.166051	2.98531	0.386583
405	17327.8	0.445642	-3.31239	-4.25849	0.971125	3.81685	0.549111	10.6299	0.147018
406	14859.2	0.64828	-3.86205	-5.88821	0.981755	3.98228	0.740177	30.4005	0.276182
407	15796.8	0.44986	-5.37153	-4.13613	0.913063	4.51427	0.628262	36.9856	0.322487
408	19626.9	0.41058	-2.3618	-5.95211	0.958645	6.46954	0.14383	11.9486	0.288741
409	10868.6	0.862018	-2.54506	-4.91313	0.945908	9.84533	0.202834	48.4668	0.311059
410	19345.1	0.71881	-5.57581	-4.83158	0.904103	5.84243	0.618568	23.5383	0.148283
411	15262.9	0.636411	-4.36669	-5.31826	0.919933	3.70793	0.706964	31.631	0.337277
412	11759.5	0.700936	-3.41232	-5.92697	0.90816	2.63936	0.186354	27.7384	0.115819
413	14282.3	0.800396	-2.39101	-5.81705	0.938739	2.76061	0.76233	23.0977	0.147911
414	18024.9	0.673055	-5.39032	-5.61277	0.933065	8.96659	0.305632	12.0445	0.250921
415	18935.7	0.144757	-5.56375	-4.30745	0.983892	1.30636	0.593652	32.1096	0.0900406
416	11209.5	0.856618	-2.63237	-4.8478	0.978358	2.36716	0.778382	19.6919	0.0719984
417	18013	0.174469	-2.00002	-5.09184	0.916016	4.33336	0.172839	15.3284	0.176176
418	12081.6	0.551364	-5.11699	-5.3297	0.937236	5.97547	0.671525	35.9811	0.018863
419	15172.6	0.359254	-4.04421	-4.12787	0.920516	2.25701	0.448377	37.1545	0.276639
420	13787.2	0.357646	-4.63891	-5.24525	0.90832	7.94287	0.460588	12.9181	0.354913
421	13759	0.479618	-3.09436	-4.62371	0.936187	1.15755	0.745561	32.5083	0.356653
422	17705.7	0.639438	-5.39898	-4.64363	0.913618	5.61493	0.455802	20.2191	0.163726
423	16070.2	0.344105	-3.35957	-4.48784	0.906866	2.48856	0.874765	5.18806	0.00544487
424	16202.9	0.180266	-5.35166	-4.00881	0.935335	3.55894	0.662673	24.8038	0.206435
425	12233.2	0.336514	-3.13753	-5.99665	0.950432	8.83997	0.102608	24.3064	0.315585
426	18901.3	0.383389	-4.94878	-4.23466	0.936592	3.69448	0.435059	42.6759	0.195493
427	16819.2	0.845483	-3.52801	-5.54404	0.953372	9.24808	0.582221	12.8707	0.260494
428	12399.7	0.287621	-3.20879	-5.40356	0.956664	1.51823	0.83724	27.3874	0.00802601
429	10154.3	0.49204	-5.18183	-5.22035	0.953474	1.48228	0.441258	3.82087	0.257172
430	11046.9	0.6819	-5.42839	-4.50122	0.940153	2.8223	0.609089	7.25679	0.379839
431	15320.6	0.483104	-2.77762	-4.27701	0.909117	2.69081	0.593359	17.9912	0.382839
432	11579.5	0.726782	-4.18545	-4.75398	0.927989	7.52529	0.642588	38.5236	0.277718
433	17428	0.125667	-3.66752	-5.73934	0.98891	6.47367	0.426233	10.4619	0.0264161
434	14804.2	0.559229	-4.74727	-5.81445	0.904009	9.05078	0.113145	37.9175	0.101352
435	17867.3	0.826156	-3.31123	-4.25738	0.951052	5.34535	0.235876	20.3071	0.0673343
436	12536.9	0.735423	-2.74875	-5.55379	0.924431	5.46665	0.694376	11.1031	0.106979
437	16081.4	0.23369	-4.4985	-5.15526	0.925466	9.1236	0.336953	22.3921	0.239309
438	17104.1	0.218946	-2.59572	-4.85812	0.971035	3.26992	0.771316	12.1466	0.285945
439	16406.6	0.313926	-2.99444	-4.79967	0.983135	6.3756	0.699472	47.9298	0.0559323
440	17206	0.338924	-5.63614	-5.21511	0.936158	5.88264	0.245675	37.1	0.123635
441	11264	0.883309	-3.53555	-5.13382	0.913841	9.4336	0.727857	13.6834	0.263473
442	13510.7	0.581483	-2.05842	-4.96469	0.918999	9.61752	0.245172	40.5719	0.0346736
443	15338.7	0.307561	-4.75449	-5.78554	0.983592	6.25731	0.725693	12.9943	0.390228
444	14162.2	0.234413	-3.53783	-5.37398	0.901876	1.26019	0.407101	16.0352	0.153418
445	19384.5	0.499911	-4.05044	-5.49644	0.914071	1.67807	0.764991	38.8643	0.177913
446	13535.1	0.409082	-4.32372	-5.38065	0.921524	8.18534	0.313708	16.8305	0.16541
447	15084.4	0.36534	-3.96752	-5.84972	0.967681	6.05348	0.819177	34.1227	0.335475
448	13580.9	0.208956	-5.65416	-5.41476	0.985557	2.93807	0.669101	27.0827	0.318882
449	12369.2	0.691975	-3.17691	-5.57817	0.9194	7.37789	0.370474	36.3422	0.207275
450	13380	0.236441	-2.98032	-4.60068	0.973562	6.7835	0.25095	16.1083	0.0508088
451	15280.6	0.669915	-3.568	-4.09049	0.960518	3.74704	0.492519	30.6185	0.0846016
452	10441.5	0.304243	-3.1236	-5.15978	0.949886	4.80826	0.895904	38.9638	0.331148
453	13277.7	0.624573	-3.08292	-5.96829	0.988665	4.46687	0.590826	3.51539	0.296459
454	15951.5	0.643895	-5.92684	-5.44415	0.93579	2.57794	0.737873	14.2481	0.210149
455	15354	0.557422	-4.59483	-4.3051	0.932368	7.35663	0.217494	42.3569	0.248487
456	16154.9	0.694338	-3.66811	-4.73745	0.918274	5.2498	0.563387	40.5303	0.0221884
457	12479.7	0.712159	-4.58241	-4.86048	0.984391	3.1798	0.520916	20.0668	0.245461
458	17144.8	0.542405	-4.71111	-4.77903	0.980552	8.49386	0.681745	13.394	0.360183
459	17950.7	0.43317	-3.87776	-4.14687	0.922821	1.04038	0.595028	29.8261	0.198432
460	16233	0.376943	-3.99229	-4.03975	0.966945	2.67617	0.364291	37.8374	0.174454
461	19902.7	0.132184	-3.00506	-5.7913	0.970461	1.70342	0.736154	12.4857	0.0942264
462	16598.5	0.262004	-5.70904	-5.33578	0.958476	8.67646	0.519884	34.6383	0.326519
463	11584	0.340144	-5.57748	-4.81744	0.92209	2.92373	0.760989	13.5139	0.231866
464	17363.9	0.875006	-4.24509	-5.42062	0.97014	8.89478	0.74639	48.1717	0.0820294
465	14580.2	0.621775	-2.07071	-4.12186	0.914645	7.18208	0.524049	20.1351	0.305668
466	11080.9	0.157201	-5.79335	-5.98438	0.948563	2.96311	0.708201	9.2962	0.196805
467	12059.7	0.664508	-2.94549	-4.37991	0.98012	9.97364	0.636972	7.75927	0.396524
468	11270.3	0.84219	-3.54667	-5.67703	0.911899	1.3165	0.538431	36.2856	0.141515
469	17885.3	0.627704	-5.21252	-5.87503	0.963866	2.18706	0.377188	23.456	0.0972914
470	10134	0.6255	-3.21617	-5.28148	0.938796	5.66342	0.543808	35.8847	0.267835
471	19821.5	0.612116	-3.45262	-4.98358	0.968544	8.04052	0.759136	40.6677	0.105701
472	19785.4	0.605486	-3.40995	-4.24691	0.966979	1.88875	0.201707	27.5891	0.241589
473	19442.2	0.417748	-4.14201	-4.90595	0.984267	4.37138	0.121786	47.8538	0.324081
474	13633.7	0.169534	-2.57902	-4.8127	0.940892	4.63187	0.184409	34.331	0.280994
475	15737.1	0.246447	-5.53264	-5.35098	0.978849	1.65632	0.805905	17.0174	0.232156
476	16067.7	0.341621	-4.98342	-4.67695	0.924533	3.23627	0.561978	23.7896	0.0424535
477	12352.2	0.264745	-3.46684	-5.53758	0.980794	8.57087	0.229365	17.4165	0.00954826
478	11939.4	0.738253	-3.59876	-4.44988	0.931658	7.46033	0.710868	47.3514	0.225956
479	12573.8	0.160752	-2.29394	-5.44702	0.925234	5.83792	0.711419	7.40899	0.288962
480	19753.1	0.607974	-5.74146	-5.36898	0.984445	8.53187	0.252129	3.98906	0.387622
481	19583.6	0.740006	-3.47313	-5.56129	0.912882	6.4488	0.837714	13.22	0.0971036
482	17841.2	0.531546	-5.87613	-5.91597	0.97869	2.19898	0.409025	14.2212	0.279675
483	17894.5	0.343258	-4.77431	-5.80487	0.900412	6.39448	0.180823	40.8932	0.295893
484	17874.6	0.387739	-4.42639	-4.33652	0.948159	6.39037	0.281792	27.4754	0.215149
485	15114	0.452833	-5.27231	-4.70957	0.943248	7.32781	0.805071	17.0988	0.0630498
486	17135.1	0.570826	-4.9848	-4.15268	0.975632	6.00346	0.414581	12.7286	0.123115
487	18572.9	0.281767	-2.34658	-4.5375	0.914563	1.57171	0.816272	8.71062	0.156715
488	15616.2	0.279975	-4.82155	-4.38016	0.97086	5.26006	0.854445	6.55706	0.0097878
489	13395.2	0.480642	-5.40294	-5.57734	0.977051	7.69068	0.311562	4.60472	0.0120639
490	11401.4	0.837274	-5.30916	-4.43839	0.917734	6.59857	0.441798	46.2099	0.290473
491	15661.2	0.461777	-5.89399	-4.91063	0.963586	3.14713	0.510977	43.1642	0.339532
492	11381.8	0.299277	-5.98185	-4.032	0.934961	7.26921	0.856187	18.0725	0.360595
493	11101.2	0.365674	-3.72332	-5.85798	0.946251	6.02807	0.673602	33.805	0.00280292
494	16650.9	0.85826	-2.68251	-4.02897	0.941491	1.64158	0.329299	9.41643	0.242348
495	12183.3	0.167315	-3.79802	-4.02495	0.979018	1.56496	0.890508	10.5228	0.333515
496	18947.5	0.118627	-4.20773	-5.95469	0.930544	4.16587	0.648752	42.8238	0.129141
497	12985.1	0.873169	-5.44202	-5.72741	0.956733	1.50875	0.467185	5.28252	0.16152
498	18190.8	0.79663	-5.48938	-5.80878	0.962593	6.40891	0.456637	3.17339	0.283536
499	18489.7	0.398784	-4.74015	-4.83737	0.928489	1.2044	0.808207	42.5716	0.285304
500	14344.9	0.573861	-3.40242	-4.08163	0.941147	3.90625	0.731396	24.0243	0.240089
501	17037.6	0.421791	-5.41279	-4.71515	0.94293	4.26777	0.554816	2.88451	0.308643
502	16241.8	0.696487	-3.30249	-5.40531	0.950833	7.49189	0.487851	5.47494	0.0548683
503	18368.9	0.860387	-4.74961	-5.59037	0.977793	2.62604	0.153333	43.2917	0.237635
504	10020	0.392605	-3.10785	-4.90972	0.931696	9.47049	0.842647	12.2786	0.166807
505	10469.7	0.259846	-5.77909	-5.83758	0.934689	2.08609	0.251552	10.9102	0.126512
506	14009.4	0.494637	-3.93803	-5.52566	0.979046	4.17735	0.507323	41.7727	0.325507
507	12259.3	0.629671	-2.92731	-4.28883	0.975733	7.45198	0.55098	10.7548	0.277259
508	16983.7	0.774284	-5.08749	-5.83924	0.926961	7.03104	0.261863	47.779	0.199441
509	16195.1	0.420356	-4.17732	-5.58229	0.965801	8.75542	0.114985	16.1865	0.263793
510	14555.2	0.402962	-3.89799	-4.6874	0.92903	2.5436	0.865683	23.9035	0.13747
511	16310.1	0.21354	-2.03363	-5.10505	0.978413	7.01627	0.768655	6.16122	0.335805
512	10961.9	0.81412	-4.64346	-4.43248	0.909788	7.51801	0.893505	7.18543	0.0790593
513	12745.7	0.675463	-5.30084	-5.97771	0.940342	5.45225	0.163379	39.3726	0.087225
514	13241.3	0.45112	-5.7812	-5.1727	0.960686	9.29364	0.223471	48.0092	0.0649537
515	18001.8	0.656725	-3.60222	-5.38989	0.947217	9.53927	0.360177	30.2973	0.39515
516	12702.6	0.17881	-3.33019	-5.25106	0.937855	7.8846	0.401309	49.0864	0.39932
517	14984.5	0.587722	-5.23557	-4.75054	0.945187	3.36766	0.751015	27.9146	0.0372618
518	19884.4	0.882495	-5.72132	-5.71225	0.911371	8.88211	0.528824	11.1736	0.13247
519	13641.3	0.184521	-2.82796	-5.96065	0.942122	2.13903	0.372566	45.1722	0.10767
520	19810.9	0.464799	-2.18534	-5.47484	0.921289	8.31629	0.866582	43.7236	0.297626
521	17229	0.461358	-5.70489	-5.46889	0.988624	6.86148	0.712953	49.5526	0.182558
522	18777.1	0.466862	-4.19821	-4.71228	0.907774	6.56234	0.824888	6.30901	0.100184
523	14060.6	0.623546	-5.56575	-4.38749	0.975173	4.89621	0.724203	7.29257	0.0858145
524	16970.7	0.877138	-4.58428	-4.19297	0.945795	1.54486	0.48644	33.5277	0.343481
525	13284.5	0.369372	-2.44389	-4.30328	0.921496	5.89227	0.382348	24.4151	0.361853
526	10376.6	0.329417	-5.60902	-4.81822	0.9751	2.17266	0.657778	41.1735	0.353395
527	10107.2	0.307013	-2.45573	-4.21205	0.985132	3.17175	0.688479	44.0118	0.308125
528	16454.1	0.44253	-4.31673	-5.69922	0.962322	9.65364	0.760193	26.1767	0.292325
529	17476.7	0.181583	-2.63643	-4.45178	0.938415	8.60444	0.222424	44.7652	0.0125857
530	18080.3	0.157854	-4.73002	-4.9926	0.941766	5.63979	0.170802	42.1505	0.0593055
531	17051.5	0.324489	-3.54856	-5.79532	0.925589	1.52926	0.555599	16.5496	0.0457615
532	17454.7	0.154181	-2.57495	-5.95886	0.94427	4.45101	0.419498	7.77449	0.127303
533	14865.7	0.266857	-5.38237	-4.94419	0.957394	4.83034	0.484407	44.1651	0.125842
534	12124.1	0.716185	-2.49404	-5.16923	0.915746	9.87536	0.493014	10.0501	0.270835
535	18062.9	0.286925	-4.93947	-5.14212	0.986352	4.57497	0.678992	12.2594	0.270129
536	14186.4	0.756304	-4.84499	-4.36522	0.946802	2.52621	0.725458	5.44258	0.133499
537	18520.8	0.286022	-3.43371	-5.65351	0.938569	5.83135	0.349995	4.59006	0.241002
538	13417.1	0.195564	-5.27159	-4.47075	0.933952	9.97158	0.300644	19.5142	0.184724
539	14400.2	0.128313	-3.32332	-5.02476	0.930685	4.61074	0.220811	41.2334	0.229291
540	10361.3	0.187168	-2.27657	-5.8674	0.979886	7.29178	0.296663	42.9525	0.0423487
541	13335	0.506679	-3.86948	-5.56704	0.910157	6.18675	0.353306	12.8228	0.0690315
542	11658.4	0.310543	-4.85981	-5.83334	0.987129	5.54092	0.253273	28.2688	0.0655395
543	17710.2	0.729267	-5.83109	-5.69439	0.95327	2.7207	0.501404	35.597	0.0486803
544	17438.9	0.121195	-5.11498	-5.05572	0.908521	8.77552	0.451445	11.6929	0.298062
545	18813.8	0.164693	-2.40089	-5.77248	0.938042	1.4037	0.114248	14.4848	0.071288
546	13503.3	0.375215	-5.45914	-5.66248	0.933912	5.58475	0.871938	25.2305	0.209105
547	12094.3	0.847906	-3.7455	-4.23118	0.932824	4.71229	0.195803	22.2402	0.254493
548	13888.1	0.593587	-4.17244	-5.5153	0.955129	8.40309	0.875771	36.6155	0.352252
549	19120.5	0.238198	-5.17536	-4.83377	0.972316	9.05867	0.334164	39.8998	0.314429
550	11644.3	0.428344	-5.58492	-4.04018	0.916551	3.97589	0.326807	45.9851	0.142732
551	16589.6	0.315966	-4.61876	-5.74496	0.923667	4.83794	0.123348	44.6293	0.0393831
552	10684.8	0.100477	-4.0651	-5.31101	0.910535	3.15779	0.656866	5.88235	0.0739283
553	17010.4	0.404142	-4.42088	-4.26437	0.971462	9.3099	0.449706	9.68106	0.343927
554	13106.9	0.528157	-3.90529	-5.77196	0.906144	5.73086	0.622487	26.7337	0.395812
555	17836	0.385847	-5.82268	-5.38276	0.978261	3.72904	0.284357	22.9427	0.351518
556	12223.2	0.496521	-4.30169	-5.02027	0.93889	3.32716	0.362613	2.4574	0.249092
557	15943.8	0.503119	-4.84167	-5.67006	0.969898	7.60664	0.817803	37.9594	0.172887
558	18554.6	0.804919	-5.76437	-5.73505	0.976408	7.71239	0.61803	10.0084	0.21369
559	19988.5	0.649179	-3.90867	-5.91348	0.924359	9.02272	0.197383	13.9319	0.0110223
560	13688	0.653644	-4.38205	-4.95448	0.961836	5.94633	0.602564	46.6571	0.354477
561	13707.9	0.838102	-5.69682	-4.65272	0.948459	3.63876	0.291066	40.0274	0.29866
562	19853.6	0.373823	-4.52483	-4.5609	0.920265	5.13218	0.733092	19.9793	0.300241
563	11912.1	0.325727	-3.88109	-5.06414	0.968154	9.00027	0.208692	28.4821	0.363757
564	10987.7	0.564581	-2.7179	-4.01939	0.968702	6.70263	0.520569	45.3979	0.244541
565	10432.4	0.771309	-2.54267	-5.74283	0.948947	8.8576	0.272713	10.9642	0.366766
566	16514.2	0.561036	-2.60841	-4.84272	0.982287	9.37398	0.159989	16.738	0.344588
567	10597.6	0.831295	-3.07501	-5.15207	0.957981	6.42458	0.256103	7.68281	0.394035
